Geneid	Chr	Start	End	Strand	Length	sample1	sample2	sample3	sample4
YER164W	V	505392	509798	+	4407	91	77	166	197
YER139C	V	450563	451243	-	681	6	10	26	28
snR52	V	431129	431220	-	92	0	0	0	0
YEL042W	V	73771	75327	+	1557	137	122	233	236
YER190C-A	V	574804	575379	-	576	0	0	0	0
tS(UGA)E	V	288443	288524	-	82	0	0	0	2
YER008C	V	167808	171818	-	4011	115	76	182	200
YER114C	V	390590	393712	-	3123	96	71	153	159
YER034W	V	221846	222403	+	558	32	28	43	35
YEL008W	V	140512	140892	+	381	4	0	8	6
YER014W	V	182600	184219	+	1620	32	23	64	69
YER143W	V	456319	457605	+	1287	107	106	161	166
YER053C-A	V	260933	261046	-	114	0	0	0	0
YER028C	V	210692	211876	-	1185	43	38	77	90
YER048C	V	246982	248157	-	1176	169	130	282	299
YER044C	V	237570	238016	-	447	94	76	92	107
YEL039C	V	79636	79977	-	342	51	48	70	94
YER053C	V	258737	259639	-	903	235	231	146	144
tQ(UUG)E1	V	250286	250357	+	72	0	0	0	0
YEL034C-A	V	85613	86215	-	603	1	0	1	2
YER155C	V	476345	482848	-	6504	141	126	272	289
snR4	V	424698	424883	+	186	9	9	12	10
YER050C	V	253971	254387	-	417	50	47	75	92
YER031C	V	214076	214747	-	672	191	209	283	356
YER037W	V	225889	226854	+	966	52	61	28	33
YEL049W	V	63728	64090	+	363	1	1	1	3
tQ(UUG)E2	V	131082	131153	-	72	0	0	0	0
YEL006W	V	144327	145334	+	1008	38	46	82	66
YER100W	V	359562	360314	+	753	64	71	95	119
YER181C	V	551473	551796	-	324	0	0	0	1
YER015W	V	184541	186775	+	2235	39	31	32	31
YER129W	V	417281	420709	+	3429	76	83	150	144
YER172C-A	V	536275	536655	-	381	0	0	0	0
tR(UCU)E	V	138666	138737	+	72	0	0	0	0
YEL072W	V	13720	14415	+	696	11	6	19	24
YEL075C	V	5345	5713	-	369	0	0	0	0
YER048W-A	V	250718	251002	+	285	35	38	63	70
YER051W	V	254656	256134	+	1479	16	16	27	37
YER171W	V	527082	529418	+	2337	41	36	53	67
YER078C	V	316807	318342	-	1536	47	54	103	109
YER169W	V	523369	525759	+	2391	59	53	63	74
YEL003W	V;V	148176;148283	148194;148599	+;+	336	33	28	39	51
YEL077W-A	V	630	1112	+	483	0	0	0	0
YEL017C-A	V	122798	122929	-	132	184	179	277	314
YER133W	V;V	432495;433197	432671;433958	+;+	939	161	143	294	365
YER152W-A	V	473485	474051	+	567	0	0	0	0
YER060W	V	274567	276153	+	1587	67	64	85	94
YER186C	V	561705	562625	-	921	45	36	61	65
YER188W	V	568040	568759	+	720	20	18	22	38
YEL045C	V	68840	69265	-	426	9	11	8	20
YER022W	V	198812	200875	+	2064	41	44	93	91
YER148W-A	V	466185	466763	+	579	0	0	0	0
YER157W	V	484788	487193	+	2406	29	18	56	62
YER014C-A	V;V	183731;184678	184169;184700	-;-	462	0	0	0	0
YEL076C-A	V;V	4185;4602	4322;5114	-;-	651	0	0	0	0
YEL038W	V	80462	81145	+	684	124	120	223	250
YER066W	V	290242	290799	+	558	18	19	30	30
YER098W	V	355466	357730	+	2265	56	52	92	110
YEL035C	V	85045	85545	-	501	0	0	4	6
RPR1	V	117667	118035	-	369	4	6	3	4
YER063W	V	281710	282366	+	657	78	79	177	217
YER127W	V	414481	415554	+	1074	19	15	21	21
YER154W	V	475020	476228	+	1209	108	106	132	158
YER032W	V	215063	217693	+	2631	19	17	49	49
YER180C-A	V	550865	551122	-	258	5	8	9	5
YEL071W	V	16355	17845	+	1491	218	234	660	718
tK(CUU)E2	V	435752	435824	-	73	0	0	0	0
YEL057C	V	45020	45721	-	702	3	2	6	7
YEL069C	V	21537	23231	-	1695	4	4	4	8
YEL043W	V	70478	73348	+	2871	108	114	193	241
YER096W	V	351698	353236	+	1539	5	5	11	7
YER017C	V	189503	191788	-	2286	95	128	198	213
YEL019C	V	120498	121301	-	804	4	4	7	5
YER009W	V	172115	172492	+	378	232	234	428	421
YER104W	V	366802	367428	+	627	7	11	17	20
YER067W	V	292066	292551	+	486	0	0	0	0
SCR1	V	441987	442508	+	522	25	28	15	11
YER044C-A	V;V	238460;239712	239623;239774	-;-	1227	0	0	5	5
YER101C	V	360502	361794	-	1293	19	11	39	34
YER121W	V	402375	402719	+	345	14	11	20	28
YER019C-A	V	194273	194539	-	267	231	242	427	463
tE(UUC)E1	V	177099	177170	+	72	0	0	0	0
YEL050C	V	59670	60851	-	1182	58	47	84	95
YER062C	V	279930	280682	-	753	220	203	239	232
YER006C-A	V	164344	164661	-	318	1	0	0	1
YER016W	V	188277	189311	+	1035	101	102	158	167
YEL025C	V	102581	106147	-	3567	53	59	103	116
YER024W	V	202192	204963	+	2772	33	27	78	91
YER023W	V	201076	201936	+	861	259	223	388	416
YER079W	V	318920	319552	+	633	44	48	146	161
YER136W	V	439616	440971	+	1356	260	211	467	473
YER151C	V	469686	472424	-	2739	61	89	110	111
YEL029C	V	96858	97796	-	939	13	12	24	29
YER065C	V	285241	286914	-	1674	63	80	143	152
YEL050W-A	V	59549	59740	+	192	1	1	6	6
YER085C	V	327619	328140	-	522	0	0	0	0
YER147C	V	462968	464842	-	1875	51	40	96	87
YER064C	V	282705	284222	-	1518	222	185	176	194
YER119C	V	399496	400842	-	1347	85	89	156	185
YEL020C-B	V	117183	117380	-	198	0	1	1	1
YER068W	V	293050	294813	+	1764	90	79	136	128
YER158C	V	488857	490578	-	1722	30	22	65	80
YER138W-A	V	449474	449578	+	105	2	3	1	0
YER130C	V	421115	422446	-	1332	52	44	61	72
YEL015W	V	126629	128284	+	1656	116	109	187	194
tK(CUU)E1	V	135425	135497	-	73	0	0	0	0
YER153C	V	474041	474805	-	765	28	21	28	22
YER137W-A	V	441575	441880	+	306	0	0	0	0
YER113C	V	387932	390052	-	2121	48	41	74	75
YEL030W	V	94644	96578	+	1935	20	23	29	29
YER083C	V	326174	327031	-	858	99	92	178	219
YER167W	V	518216	520771	+	2556	103	75	152	160
YEL032C-A	V	87040	87201	-	162	0	0	0	0
YEL073C	V	7230	7553	-	324	15	9	8	13
tV(AAC)E1	V	438700	438773	+	74	0	0	0	0
YER005W	V	160550	162442	+	1893	59	58	83	91
YER102W	V	363100	363702	+	603	291	292	396	432
YER046W	V	243180	243611	+	432	22	12	51	54
YER023C-A	V	201522	201734	-	213	0	0	0	0
YEL031W	V	90258	93905	+	3648	366	355	538	595
YER075C	V	308413	311199	-	2787	19	15	16	26
YER073W	V	304030	305592	+	1563	578	532	472	517
YEL027W	V	100769	101251	+	483	666	599	1041	1156
YEL024W	V	107260	107907	+	648	58	54	88	75
YER049W	V	251728	253662	+	1935	93	81	117	127
YER175W-A	V	540650	540814	+	165	0	0	0	3
YEL037C	V	81407	82603	-	1197	253	237	393	437
YER134C	V	437267	437803	-	537	31	20	26	21
YER088C	V	333176	335188	-	2013	412	377	884	975
YER175C	V	539464	540363	-	900	25	27	34	38
tG(GCC)E	V	61890	61960	-	71	0	0	0	0
YER021W	V	196948	198519	+	1572	165	131	345	367
YER004W	V	159580	160275	+	696	164	158	419	420
YER087C-A	V	331817	332368	-	552	1	4	3	6
YEL017W	V	123657	124670	+	1014	52	58	82	100
YER106W	V	372326	373234	+	909	1	0	0	2
YER066C-A	V	291703	292203	-	501	29	14	20	18
YER117W	V;V	396769;397282	396810;397653	+;+	414	851	814	1169	1316
YER145C-A	V	462386	462823	-	438	5	3	1	0
YER076W-A	V	313390	313737	+	348	2	2	2	5
YER187W	V	566230	566655	+	426	13	11	31	24
snR14	V	167427	167586	-	160	1	0	2	5
YER046W-A	V	243700	244029	+	330	0	0	0	0
YER168C	V	521029	522669	-	1641	33	26	44	68
YER124C	V	407342	409063	-	1722	99	112	61	70
SRG1	V	322212	322762	+	551	12	12	18	14
YER095W	V	349980	351182	+	1203	126	128	205	257
YEL028W	V	98668	99129	+	462	7	8	13	18
YER045C	V	240032	241501	-	1470	49	60	90	102
YER088W-B	V	335927	336073	+	147	0	0	0	0
YER086W	V	328477	330207	+	1731	266	232	356	397
YER188C-A	V	569608	569907	-	300	2	2	5	3
YER148W	V	465303	466025	+	723	46	42	102	98
YEL022W	V	111421	115800	+	4380	91	89	131	178
YEL001C	V	150301	150978	-	678	153	123	301	303
YER056C	V	266512	268113	-	1602	382	376	195	233
YER087C-B	V	332582	332830	-	249	61	66	107	128
YEL013W	V	128825	130561	+	1737	83	78	112	143
YER074W	V;V	306323;306792	306325;307196	+;+	408	852	761	1235	1293
tE(UUC)E3	V	487331	487402	-	72	0	0	0	0
YER133W-A	V	437191	437532	+	342	5	10	12	6
YER119C-A	V	400867	401238	-	372	1	1	4	3
YEL063C	V	31694	33466	-	1773	108	76	163	187
YEL051W	V	58378	59148	+	771	240	209	411	446
YER190C-B	V	575680	576162	-	483	0	0	0	0
YEL061C	V	36535	39537	-	3003	24	17	50	69
YER059W	V	272624	273886	+	1263	58	51	119	131
YER091C-A	V	342390	342611	-	222	0	0	0	1
YER140W	V	451565	453235	+	1671	26	29	60	69
YEL056W	V	47168	48373	+	1206	66	63	130	160
YER084W-A	V	327598	328110	+	513	1	0	0	0
YER036C	V	223367	225199	-	1833	421	429	476	590
YEL009C	V	138918	139763	-	846	813	808	1277	1421
YER079C-A	V	319902	320240	-	339	0	0	0	0
YEL053W-A	V	52908	53255	+	348	1	2	0	0
tM(CAU)E	V	100133	100204	+	72	0	1	0	0
YEL030C-A	V	94583	94897	-	315	0	0	0	1
YEL014C	V	128303	128608	-	306	0	0	8	3
YER156C	V	483325	484341	-	1017	162	162	150	187
YER162C	V	500630	502894	-	2265	58	58	130	141
YER090W	V	337949	339472	+	1524	189	180	314	319
YER074W-A	V;V;V	307653;307849;308068	307746;307956;308123	+;+;+	258	32	34	102	73
YER041W	V	232461	234740	+	2280	24	22	47	74
YER165C-A	V	512627	512983	-	357	0	0	1	0
YER097W	V	355140	355469	+	330	1	0	1	0
YER112W	V	387232	387795	+	564	60	56	103	135
YER090C-A	V	338322	338411	-	90	0	0	0	0
YER067C-A	V	292240	292563	-	324	5	10	2	5
snR67	V	61352	61433	+	82	0	0	1	2
tH(GUG)E1	V	207357	207428	+	72	0	0	0	0
YER174C	V	538434	539168	-	735	63	44	62	79
YER107W-A	V	374394	374714	+	321	7	2	9	5
YER026C	V	207644	208474	-	831	168	187	261	300
YER099C	V	358105	359061	-	957	71	73	120	99
YEL048C	V	64709	65167	-	459	3	4	7	10
YEL070W	V	19589	21097	+	1509	8	8	12	16
YER025W	V	205251	206834	+	1584	316	296	398	442
YEL075W-A	V	4870	5481	+	612	0	0	0	0
YER126C	V	413394	414179	-	786	70	53	58	73
tI(AAU)E1	V	443202	443275	-	74	0	0	0	1
YER182W	V	552525	553259	+	735	33	37	58	60
YER165W	V	510373	512106	+	1734	572	537	732	818
YEL058W	V	43252	44925	+	1674	296	278	473	540
YER060W-A	V	276572	278164	+	1593	12	15	16	21
YER184C	V	556296	558680	-	2385	32	24	36	54
YEL012W	V;V	131772;131900	131776;132551	+;+	657	65	90	176	161
YEL020W-A	V	117211	117474	+	264	6	5	10	17
YER077C	V	314534	316600	-	2067	24	29	43	49
YER039C	V	228456	229205	-	750	10	12	20	22
YER042W	V	234937	235491	+	555	31	32	84	122
YER019W	V	192797	194230	+	1434	193	157	245	303
YER039C-A	V	229263	229481	-	219	7	8	10	10
YER058W	V	271768	272091	+	324	36	31	44	68
YER110C	V	378762	382103	-	3342	148	149	215	235
YER135C	V	437952	438344	-	393	0	1	0	1
YEL023C	V	108504	110552	-	2049	17	19	34	42
YEL077C	V	264	4097	-	3834	15	12	24	38
tI(AAU)E2	V	551285	551358	-	74	0	0	0	0
YER001W	V	153520	155808	+	2289	103	87	31	35
YEL020C	V	118617	120299	-	1683	54	57	108	110
YEL044W	V	69757	70257	+	501	83	67	286	286
YER180C	V	549724	550527	-	804	21	24	27	37
YER087W	V	330576	332306	+	1731	13	11	27	35
YER055C	V	264892	265785	-	894	505	439	317	367
tR(ACG)E	V	492352	492424	-	73	0	0	0	0
YER091C	V	339864	342167	-	2304	755	668	1099	1199
YER138C	V	443756	449024	-	5269	0	0	0	0
YER137C-A	V	447702	449024	-	1323	0	0	0	0
YER159C-A	V	496802	498124	-	1323	0	0	0	0
YER160C	V	492856	498124	-	5269	0	0	0	0
YHR094C	VIII	290913	292625	-	1713	163	134	372	410
YHL031C	VIII	38815	39486	-	672	11	17	34	37
YHL002W	VIII	102612	103970	+	1359	69	53	113	141
YHR219C-A	VIII	561199	561681	-	483	0	0	0	0
YHR045W	VIII	195551	197233	+	1683	58	42	115	98
YHR084W	VIII	274174	276240	+	2067	34	38	51	59
YHR126C	VIII	359702	360181	-	480	0	0	2	0
tS(AGA)H	VIII	133026	133107	-	82	0	0	0	0
YHR125W	VIII	358858	359163	+	306	0	0	0	0
YHR206W	VIII	512732	514600	+	1869	78	58	119	123
YHR097C	VIII;VIII	297385;298485	298360;298609	-;-	1101	188	165	218	243
YHR005C-A	VIII	115620	115901	-	282	145	134	203	214
YHR193C-A	VIII	488653	489027	-	375	0	1	0	0
YHR007C	VIII	120091	121683	-	1593	509	486	518	636
YHR214C-D	VIII	550648	550941	-	294	0	0	0	0
YHR212W-A	VIII	538742	538945	+	204	0	0	0	0
YHR184W	VIII	472744	474459	+	1716	1	1	1	7
YHR132C	VIII	368502	369794	-	1293	208	195	358	375
YHR182C-A	VIII	470939	471412	-	474	4	1	2	1
YHR025W	VIII	159438	160511	+	1074	368	322	343	410
YHR055C	VIII	214533	214718	-	186	0	0	0	0
YHR073W	VIII	242582	245572	+	2991	121	118	239	244
YHL015W-A	VIII	74699	74782	+	84	0	0	1	5
YHR064C	VIII	225525	227141	-	1617	421	408	512	556
YHL041W	VIII	17392	17841	+	450	0	0	0	0
YHR143W	VIII	385510	386487	+	978	528	469	411	387
YHR052W-A	VIII	212510	212704	+	195	0	0	0	0
YHL047C	VIII	8351	10213	-	1863	257	255	104	115
YHR175W-A	VIII	453558	453707	+	150	3	8	16	15
YHR003C	VIII	110028	111317	-	1290	40	43	55	69
YHL032C	VIII	36379	38508	-	2130	144	166	257	309
YHR154W	VIII	402966	406178	+	3213	19	20	50	51
YHR031C	VIII	170799	172970	-	2172	25	20	41	41
YHL042W	VIII	15667	16119	+	453	0	5	4	6
YHR022C-A	VIII	151217	151306	-	90	0	1	0	0
YHR180C-B	VIII	466958	467062	-	105	0	0	0	0
YHR106W	VIII	325598	326626	+	1029	72	55	98	112
YHR186C	VIII	475999	480672	-	4674	69	55	93	99
YHL029C	VIII	45929	47968	-	2040	34	29	64	69
YHR048W	VIII	204607	206151	+	1545	33	24	66	59
YHR039C-A	VIII;VIII	187173;187677	187514;187679	-;-	345	205	200	341	387
YHR073W-A	VIII	242868	243044	+	177	0	0	0	0
YHR035W	VIII	178219	180111	+	1893	13	11	11	15
YHR165C	VIII	429707	436948	-	7242	120	120	173	163
YHL006C	VIII	98343	98795	-	453	12	9	23	28
YHL025W	VIII	54851	55849	+	999	173	172	371	380
YHR172W	VIII	448335	450806	+	2472	14	14	28	30
YHR002W	VIII	108812	109885	+	1074	22	9	56	44
YHR016C	VIII;VIII	136881;138409	138240;138455	-;-	1407	148	125	211	215
RUF5-2	VIII	214407	215116	+	710	0	0	0	0
YHR079C	VIII	258244	261591	-	3348	38	26	70	116
YHR169W	VIII	442181	443476	+	1296	16	16	13	15
YHR054C	VIII	213185	214249	-	1065	0	0	0	0
YHR065C	VIII	227532	229037	-	1506	40	30	50	54
YHR088W	VIII	281495	282382	+	888	17	18	17	32
tH(GUG)H	VIII	62755	62826	+	72	0	0	0	0
YHR093W	VIII	289142	289690	+	549	0	0	3	2
YHL036W	VIII	26241	27881	+	1641	72	47	45	37
YHR100C	VIII	314116	314673	-	558	6	12	18	25
YHR105W	VIII	324766	325410	+	645	12	14	29	23
YHR056C	VIII	215183	217834	-	2652	8	12	23	32
YHR135C	VIII	372694	374310	-	1617	241	228	339	431
YHR180W	VIII	465178	465669	+	492	8	14	36	32
YHR086W	VIII	278153	279724	+	1572	81	70	128	138
YHR146W	VIII	390300	391697	+	1398	129	130	352	413
YHR195W	VIII	490747	491712	+	966	104	130	214	264
YHR119W	VIII	346043	349285	+	3243	41	44	80	81
YHR033W	VIII	175548	176819	+	1272	25	20	25	37
YHR024C	VIII	157744	159192	-	1449	117	103	140	138
YHL043W	VIII	14901	15413	+	513	10	6	12	17
YHL039W	VIII	21783	23540	+	1758	33	26	42	51
YHR059W	VIII	220108	220500	+	393	19	17	25	27
YHL048C-A	VIII	5663	5797	-	135	1	0	0	1
YHR026W	VIII	160844	161485	+	642	226	200	457	510
YHR160C	VIII	419221	420072	-	852	3	3	16	13
YHR085W	VIII	276764	277768	+	1005	20	15	10	13
YHR113W	VIII	336337	337809	+	1473	117	122	217	250
YHR175W	VIII	452872	453441	+	570	116	97	228	290
YHR148W	VIII	393534	394085	+	552	19	15	14	15
YHR208W	VIII	517532	518713	+	1182	627	552	684	783
YHR001W	VIII	106055	107368	+	1314	42	35	63	79
YHR131C	VIII	365340	367892	-	2553	90	65	114	105
YHR049C-A	VIII	207234	207530	-	297	3	8	8	17
YHR086W-A	VIII	280231	280392	+	162	0	0	0	1
YHR141C	VIII;VIII	381990;382748	382306;382751	-;-	321	526	492	690	840
YHR170W	VIII	443828	445384	+	1557	133	116	158	167
YHL021C	VIII	64462	65859	-	1398	334	346	186	178
YHR078W	VIII	256360	258018	+	1659	49	44	71	89
YHR007C-A	VIII	122550	122765	-	216	0	3	9	17
YHL044W	VIII	13565	14272	+	708	16	13	21	30
YHR214W-A	VIII	543008	543493	+	486	4	2	8	8
YHR161C	VIII	420373	422286	-	1914	184	182	306	370
YHR074W	VIII	246193	248337	+	2145	136	150	210	243
YHR164C	VIII	424610	429178	-	4569	33	38	81	88
YHL006W-A	VIII	97732	98085	+	354	1	0	4	5
YHR204W	VIII	506319	508709	+	2391	68	54	109	120
YHL002C-A	VIII	102587	103075	-	489	0	0	0	0
YHL030W-A	VIII	39074	39535	+	462	0	0	0	0
tF(GAA)H2	VIII;VIII	358478;358533	358513;358569	-;-	73	0	0	0	0
YHR163W	VIII	423724	424473	+	750	152	120	138	138
YHL046C	VIII	11923	12285	-	363	3	0	0	1
YHR056W-A	VIII	217406	217840	+	435	0	0	0	0
YHL004W	VIII	99219	100403	+	1185	79	70	113	98
YHL009C	VIII	84068	85060	-	993	32	28	48	60
YHR138C	VIII	377355	377699	-	345	86	81	138	133
YHR166C	VIII	437170	439050	-	1881	22	29	59	32
YHR151C	VIII	399268	400848	-	1581	24	26	40	49
YHL014C	VIII	76097	77314	-	1218	13	19	40	42
YHR021C	VIII;VIII	147871;148667	148116;148669	-;-	249	561	537	878	964
YHR198C	VIII	496315	497280	-	966	27	24	47	59
YHL034C	VIII	33193	34077	-	885	270	243	410	429
YHR124W	VIII	356561	358444	+	1884	21	10	32	35
YHR011W	VIII	127780	129120	+	1341	19	17	20	28
YHR096C	VIII	294669	296447	-	1779	25	25	75	78
YHR185C	VIII	474627	475340	-	714	1	0	1	0
YHR190W	VIII	484845	486179	+	1335	509	449	726	829
YHR075C	VIII	248439	249641	-	1203	11	15	30	37
YHR117W	VIII	342349	344268	+	1920	61	60	126	130
YHR109W	VIII	330310	332067	+	1758	10	7	12	18
YHR207C	VIII	514905	516485	-	1581	34	29	60	79
YHR132W-A	VIII	370054	370449	+	396	67	56	109	114
YHR015W	VIII	134554	136533	+	1980	0	0	0	4
YHL015W	VIII	75412	75777	+	366	1539	1493	2541	2783
YHR090C	VIII	283777	284625	-	849	18	15	27	33
YHR189W	VIII	484028	484600	+	573	22	23	21	28
YHR001W-A	VIII;VIII	107826;107895	107831;108122	+;+	234	27	33	58	64
YHR070C-A	VIII	236102	236512	-	411	3	2	4	6
YHR108W	VIII	328303	330060	+	1758	193	178	294	304
YHR006W	VIII	117814	119439	+	1626	90	88	194	206
YHR147C	VIII	392639	393283	-	645	44	24	68	72
YHR180W-A	VIII	466932	467114	+	183	0	0	0	0
YHR092C	VIII	287081	288811	-	1731	1514	1388	453	446
YHR080C	VIII	262801	266838	-	4038	68	75	167	178
YHL045W	VIII	12502	12849	+	348	0	0	3	2
YHR022C	VIII	149575	150345	-	771	8	3	7	10
YHL027W	VIII	51111	52988	+	1878	176	182	286	316
YHL003C	VIII	100648	101883	-	1236	94	91	147	159
YHR070W	VIII	234881	236380	+	1500	34	24	29	27
YHR150W	VIII	397251	398990	+	1740	18	24	37	48
YHR133C	VIII	370722	371597	-	876	92	107	139	168
YHR215W	VIII	552099	553502	+	1404	49	53	3	4
YHL020C	VIII	66242	67456	-	1215	112	112	309	310
YHR101C	VIII;VIII	314874;315859	315771;315968	-;-	1008	17	15	39	37
YHR046C	VIII	197398	198285	-	888	36	27	42	46
YHR095W	VIII	292943	293437	+	495	0	0	8	8
YHR182W	VIII	468219	470576	+	2358	16	18	27	45
YHR098C	VIII	299145	301934	-	2790	180	188	278	276
YHR145C	VIII	388981	389337	-	357	0	0	0	0
YHR120W	VIII	349574	352453	+	2880	17	11	51	33
YHL030W	VIII	40084	45690	+	5607	108	103	191	193
tV(CAC)H	VIII	475706	475778	-	73	0	0	0	0
YHR051W	VIII	209705	210151	+	447	63	65	110	114
YHR130C	VIII	364965	365300	-	336	5	4	6	6
YHR149C	VIII	394455	396659	-	2205	46	42	65	78
YHR127W	VIII	360913	361644	+	732	36	28	48	49
YHR194W	VIII	488657	490396	+	1740	48	44	95	108
YHR213W-A	VIII	540549	540782	+	234	0	0	0	0
YHR032C-A	VIII	175275	175394	-	120	1	2	2	3
YHR203C	VIII;VIII	504476;505517	505247;505530	-;-	786	824	766	1130	1194
YHR168W	VIII	440377	441933	+	1557	24	27	37	38
YHR167W	VIII	439342	440127	+	786	9	5	16	16
YHR050W	VIII	207654	209303	+	1650	174	115	307	333
YHR112C	VIII	334527	335663	-	1137	73	49	137	139
YHR027C	VIII	161730	164711	-	2982	464	388	653	692
YHR214C-E	VIII	551200	551499	-	300	0	0	0	0
YHR214W	VIII	541651	542262	+	612	1	0	2	3
YHR188C	VIII	482005	483837	-	1833	169	143	231	244
YHL023C	VIII	59123	62563	-	3441	46	43	118	96
YHR099W	VIII	302761	313995	+	11235	78	67	142	174
YHR196W	VIII	491931	493658	+	1728	16	12	24	20
YHR177W	VIII	456591	457952	+	1362	19	18	34	33
YHR174W	VIII	451327	452640	+	1314	16702	15314	11481	12592
YHR199C-A	VIII;VIII	498571;498787	498719;498859	-;-	222	10	10	24	12
YHR034C	VIII	176965	177999	-	1035	32	20	41	69
YHR179W	VIII	462502	463704	+	1203	957	895	1265	1418
YHR014W	VIII	132047	132922	+	876	2	2	6	5
YHR171W	VIII	445713	447605	+	1893	34	34	61	72
tF(GAA)H1	VIII;VIII	237848;237903	237883;237939	-;-	73	1	0	0	1
YHR121W	VIII	352756	353319	+	564	75	65	130	136
YHR116W	VIII	341665	342120	+	456	27	17	38	37
YHR087W	VIII	280820	281155	+	336	102	81	59	63
YHR176W	VIII	454229	455527	+	1299	19	16	45	56
YHR173C	VIII	450815	451153	-	339	3	0	7	15
YHL010C	VIII	81964	83721	-	1758	40	28	52	66
YHR102W	VIII	316572	319814	+	3243	62	64	101	128
YHR063C	VIII	224030	225169	-	1140	83	69	157	192
YHR050W-A	VIII	209475	209645	+	171	5	2	6	6
YHR137C-A	VIII	375738	376388	-	651	0	0	0	0
YHL017W	VIII	70276	71874	+	1599	89	83	130	142
YHL035C	VIII	27978	32756	-	4779	86	74	98	107
YHR043C	VIII	192805	193545	-	741	117	124	161	141
YHR115C	VIII	340109	341359	-	1251	47	60	96	96
YHL007C	VIII	95118	97937	-	2820	92	83	150	157
YHR018C	VIII	140011	141402	-	1392	395	377	444	480
YHR076W	VIII;VIII	251101;251249	251155;252225	+;+	1032	36	54	95	84
YHL019C	VIII	67731	69548	-	1818	44	35	47	53
YHR061C	VIII	221534	222478	-	945	21	19	41	53
tV(AAC)H	VIII	85298	85371	-	74	0	0	0	0
snR32	VIII	381540	381727	+	188	2	6	2	6
YHR068W	VIII	232133	233296	+	1164	391	427	548	604
YHR218W-A	VIII	559932	560249	+	318	0	1	0	0
YHR037W	VIII	181977	183704	+	1728	87	100	128	140
YHR012W	VIII;VIII	129481;129648	129528;130448	+;+	849	66	72	138	137
YHR144C	VIII	387788	388726	-	939	18	17	23	27
YHR077C	VIII;VIII	252374;255751	255637;255756	-;-	3270	123	125	146	180
YHR156C	VIII	411384	412406	-	1023	5	3	20	18
YHR217C	VIII	556581	557042	-	462	0	0	0	0
YHR036W	VIII	180345	181760	+	1416	15	15	38	45
YHR091C	VIII	284839	286770	-	1932	35	34	80	103
YHR052W	VIII	210848	211978	+	1131	36	30	30	38
YHR123W	VIII;VIII	354815;354956	354864;356081	+;+	1176	65	47	79	106
YHR009C	VIII	124109	125680	-	1572	163	138	251	293
YHL018W	VIII	69708	70070	+	363	6	6	2	5
YHL012W	VIII	78936	80417	+	1482	2	5	8	3
YHR211W	VIII	525392	528619	+	3228	23	23	36	43
YHR155W	VIII	407103	410789	+	3687	31	34	56	59
RUF5-1	VIII	212409	213118	+	710	0	0	0	0
YHR139C	VIII	378219	379199	-	981	6	10	15	7
YHR032W-A	VIII	175195	175374	+	180	12	8	9	14
tA(AGC)H	VIII	146242	146314	-	73	0	0	0	0
YHR210C	VIII	520712	521737	-	1026	26	26	55	66
YHR072W-A	VIII	241664	241840	+	177	119	82	167	219
YHR140W	VIII	380572	381291	+	720	2	4	5	1
YHR044C	VIII	194068	194808	-	741	12	11	30	27
YHL016C	VIII	72037	74244	-	2208	16	7	34	34
tP(UGG)H	VIII;VIII	388893;388960	388928;388995	-;-	72	0	0	0	0
YHR202W	VIII	502388	504196	+	1809	28	18	36	34
YHR019C	VIII	141894	143558	-	1665	736	663	976	1000
YHL034W-A	VIII	33176	33637	+	462	5	4	16	16
YHR213W-B	VIII	540800	541099	+	300	1	2	2	2
YHR104W	VIII	323409	324392	+	984	115	98	148	188
YHR083W	VIII	272627	273616	+	990	141	131	187	203
YHR165W-A	VIII	436647	436958	+	312	0	0	0	0
YHL022C	VIII	62961	64157	-	1197	1	1	5	5
YHR032W	VIII	173344	175089	+	1746	133	130	137	170
YHR008C	VIII	122889	123590	-	702	296	268	544	592
YHL038C	VIII	23617	25509	-	1893	17	17	50	48
YHR071C-A	VIII	238910	239230	-	321	1	0	0	0
YHR081W	VIII	267538	268092	+	555	38	34	62	65
YHL050W-A	VIII	811	1293	+	483	0	0	0	0
YHL028W	VIII	48763	50580	+	1818	49	38	75	101
YHR073C-B	VIII	245422	245502	-	81	0	0	0	0
YHL033C	VIII	35255	36025	-	771	783	725	865	984
YHR066W	VIII	229335	230696	+	1362	18	15	14	14
YHR029C	VIII	167677	168561	-	885	30	24	67	68
YHR178W	VIII	459299	461530	+	2232	23	23	37	51
YHR063W-A	VIII	225442	225777	+	336	0	3	13	8
YHR040W	VIII	187924	189024	+	1101	37	30	50	60
YHR192W	VIII	486826	487662	+	837	57	48	109	120
YHR017W	VIII	138694	139851	+	1158	46	30	89	107
YHR004C	VIII	111754	113094	-	1341	60	74	133	150
YHL040C	VIII	19088	20971	-	1884	71	58	57	67
YHR191C	VIII	486230	486631	-	402	26	21	38	65
YHR201C	VIII	499950	501143	-	1194	80	73	112	117
YHR103W	VIII	320414	322972	+	2559	67	68	136	155
YHR213W	VIII	539151	539747	+	597	0	0	0	0
YHR153C	VIII	402086	402682	-	597	2	1	7	4
YHR082C	VIII	268459	271548	-	3090	185	181	261	300
YHR069C-A	VIII	234874	235236	-	363	0	0	0	0
YHR020W	VIII	143996	146062	+	2067	292	236	388	434
YHR057C	VIII	218226	218843	-	618	116	138	214	208
YHL024W	VIII	56649	58790	+	2142	32	27	49	52
